,Unnamed: 0,TrackID,cell_x,cell_y,death_time
390,390,417,87.1,706.55,230
391,391,418,655.85,702.0,255
392,392,419,443.3,713.7,165
393,393,420,497.9,742.95,195
394,394,422,354.25,716.3,165
395,395,423,641.55,711.75,280
396,396,424,306.8,715.0,225
397,397,425,582.4,714.35,300
398,398,426,479.7,716.3,220
399,399,427,231.4,718.25,190
400,400,428,507.65,718.25,215
401,401,429,526.5,714.35,275
402,402,430,553.15,720.85,230
403,403,431,624.65,714.35,220
404,404,432,122.85,715.65,85
405,405,433,177.45,720.85,225
406,406,434,366.6,725.4,170
407,407,435,538.85,788.45,155
408,408,436,290.55,769.6,195
409,409,437,415.35,768.3,220
410,410,438,440.05,771.55,180
411,411,439,352.3,770.9,260
412,412,440,458.25,772.85,255
413,413,441,224.25,773.5,195
414,414,442,400.4,771.55,170
415,415,443,566.8,774.15,185
416,416,444,186.55,771.55,320
417,417,445,592.15,778.7,205
418,418,446,328.25,776.1,230
419,419,447,375.05,780.65,185
420,420,448,427.05,783.25,225
421,421,449,255.45,780.65,230
422,422,450,406.9,782.6,200
423,423,451,594.75,765.7,235
424,424,452,213.85,787.15,235
425,425,453,599.3,785.85,235
426,426,454,553.15,783.9,220
427,427,455,443.95,794.3,240
428,428,456,342.55,787.15,235
429,429,457,492.7,790.4,205
430,430,458,281.45,789.1,250
431,431,459,252.85,794.95,195
432,432,460,315.9,784.55,240
433,433,461,365.95,793.0,180
434,434,462,297.05,792.35,255
435,435,463,510.25,794.95,200
436,436,464,382.85,793.65,200
437,437,465,426.4,795.6,240
438,438,466,532.35,754.65,210
439,439,467,182.65,741.65,135
440,440,468,544.7,742.3,225
441,441,469,448.5,740.35,160
442,442,470,356.85,745.55,195
443,443,471,145.6,745.55,55
444,444,472,518.05,745.55,170
445,445,473,588.9,744.9,260
446,446,474,215.8,748.15,190
447,447,475,460.85,750.1,220
448,448,476,311.35,750.1,210
449,449,477,568.75,752.05,235
