 CellID,cell_x,cell_y,death_time
232,1182.232,741.502,390
233,1216.631,741.072,430
234,1184.812,754.831,450
235,1201.581,752.252,470
236,1169.333,707.104,330
237,1161.593,716.563,340
238,1177.503,713.983,350
239,1171.053,723.443,370
240,1150.414,721.723,370
241,1121.605,714.413,390
242,1134.934,722.153,400
243,1116.875,738.922,390
244,1165.893,741.072,410
245,1155.574,735.482,460
246,1146.114,738.922,460
247,1152.564,754.831,460
248,1134.074,738.062,480
249,1137.514,755.261,480
250,1125.045,746.232,500
251,1162.453,760.851,550
252,1117.305,673.135,1240
253,1049.798,664.965,540
254,1085.057,734.622,790
255,1091.076,731.182,970
256,1108.706,737.632,950
257,1075.597,744.082,890
258,1020.99,726.883,620
259,969.392,726.023,570
260,1020.13,685.604,360
261,964.662,701.084,360
262,918.654,675.715,520
263,907.905,645.186,320
264,946.603,627.127,390
265,971.112,655.506,370
266,925.104,645.186,560
267,875.656,629.277,570
268,888.985,566.07,430
269,942.303,570.37,520
270,941.013,590.149,490
271,996.051,670.555,220
272,959.502,627.127,630
273,998.63,752.252,730
274,1016.69,767.731,510
275,1039.049,767.301,670
276,1046.358,753.111,210
277,1073.877,790.52,300
278,1083.337,835.668,490
279,1066.137,808.149,420
280,1076.027,802.989,420
281,996.911,744.942,80
282,918.224,632.287,410
283,893.285,827.068,180
284,894.575,809.869,180
285,872.216,705.814,190
286,857.597,874.796,210
287,922.524,826.208,220
288,956.492,856.307,230
289,960.362,839.538,230
290,935.853,821.048,240
291,916.074,836.958,240
292,900.165,841.258,240
293,866.626,844.697,230
294,874.366,865.766,250
295,894.145,859.747,250
296,885.546,846.417,260
297,899.305,796.54,230
298,1004.65,851.577,250
299,979.281,852.437,250
300,962.942,826.638,260
301,980.141,839.968,270
302,989.601,867.916,270
303,981.861,828.788,300
304,1007.66,860.607,300
305,997.771,841.687,330
306,998.201,824.488,430
307,1022.279,848.997,420
308,1035.179,851.577,420
309,995.621,809.869,490
310,949.183,784.5,800
311,945.743,765.581,800
312,939.293,747.522,840
313,894.145,716.133,700
314,837.388,739.352,800
315,940.691,807.504,280
316,922.631,803.957,290
317,976.809,798.474,310
318,898.122,675.93,330
319,862.004,705.599,230
320,881.998,699.794,260
321,799.764,833.948,230
322,811.696,833.625,230
323,851.362,852.33,260
324,852.974,865.229,270
325,848.137,827.498,290
326,833.948,842.332,290
327,849.427,845.557,290
328,839.753,866.519,300
329,847.492,879.096,260
330,831.69,897.478,280
331,825.241,871.034,270
332,812.341,871.034,270
333,810.406,858.134,280
334,827.176,882.966,280
335,814.599,880.708,280
336,803.957,883.933,250
337,791.702,878.451,260
338,774.933,870.389,290
339,786.865,863.294,300
340,802.667,866.519,300
341,785.575,839.108,320
342,791.057,853.619,320
343,809.761,848.46,320
344,792.992,821.693,320
345,822.338,823.628,320
346,842.332,815.244,320
347,824.596,838.463,340
348,835.883,812.664,370
349,802.344,818.791,360
350,813.309,823.306,400
351,822.661,802.022,390
352,819.436,787.51,410
353,835.56,779.448,410
354,823.628,770.418,420
355,787.187,795.895,340
356,804.924,799.442,350
357,808.794,778.158,370
358,802.022,767.516,400
359,789.122,765.258,380
360,791.702,748.167,340
361,791.38,755.261,560
362,752.681,759.454,200
363,761.389,732.687,230
364,740.427,776.223,230
365,796.217,680.445,230
366,777.513,749.134,250
367,735.912,737.525,250
368,736.88,752.036,250
369,724.948,766.226,250
370,709.468,758.809,250
371,690.764,762.356,250
372,671.093,778.158,250
373,682.38,787.187,250
374,686.894,747.844,260
375,671.093,758.164,260
376,647.551,753.971,250
377,659.161,763.001,240
378,693.667,713.661,240
379,696.246,686.249,240
380,718.176,699.794,60
381,663.998,660.773,120
382,681.735,663.998,180
383,658.193,677.22,180
384,711.403,675.285,190
385,706.244,738.815,210
386,720.755,795.895,240
387,707.533,819.436,230
388,683.992,803.312,180
389,704.954,804.924,200
390,684.637,818.146,230
391,694.634,831.368,250
392,740.427,856.199,240
393,752.681,858.779,250
394,737.202,870.389,270
395,764.936,849.105,270
396,765.258,827.821,280
397,772.998,839.753,300
398,781.383,814.921,350
399,733.332,843.945,270
400,723.335,857.812,290
401,721.723,842.332,290
402,746.232,842.332,310
